home_team,away_team
Manchester United,Stoke City
Brighton and Hove Albion,Chelsea
Arsenal,Crystal Palace
Burnley,Manchester United
Everton,West Bromwich Albion
Leicester City,Watford
Stoke City,Huddersfield Town
West Ham United,AFC Bournemouth
Manchester City,Newcastle United
Southampton,Tottenham Hotspur
Swansea City,Liverpool
Swansea City,Arsenal
West Ham United,Crystal Palace
Huddersfield Town,Liverpool
Chelsea,AFC Bournemouth
Everton,Leicester City
Newcastle United,Burnley
Southampton,Brighton and Hove Albion
Manchester City,West Bromwich Albion
Stoke City,Watford
Tottenham Hotspur,Manchester United
Burnley,Manchester City
AFC Bournemouth,Stoke City
Brighton and Hove Albion,West Ham United
Leicester City,Swansea City
Manchester United,Huddersfield Town
West Bromwich Albion,Southampton
Arsenal,Everton
Crystal Palace,Newcastle United
Liverpool,Tottenham Hotspur
Watford,Chelsea
Tottenham Hotspur,Arsenal
Everton,Crystal Palace
Stoke City,Brighton and Hove Albion
Swansea City,Burnley
West Ham United,Watford
Manchester City,Leicester City
Huddersfield Town,AFC Bournemouth
Newcastle United,Manchester United
Southampton,Liverpool
Chelsea,West Bromwich Albion
Leicester City,Stoke City
AFC Bournemouth,Newcastle United
Brighton and Hove Albion,Swansea City
Burnley,Southampton
Liverpool,West Ham United
West Bromwich Albion,Huddersfield Town
Watford,Everton
Crystal Palace,Tottenham Hotspur
Manchester United,Chelsea
Arsenal,Manchester City
Burnley,Everton
Leicester City,AFC Bournemouth
Southampton,Stoke City
Swansea City,West Ham United
Tottenham Hotspur,Huddersfield Town
Watford,West Bromwich Albion
Liverpool,Newcastle United
Brighton and Hove Albion,Arsenal
Manchester City,Chelsea
Crystal Palace,Manchester United
Manchester United,Liverpool
Everton,Brighton and Hove Albion
Huddersfield Town,Swansea City
Newcastle United,Southampton
West Bromwich Albion,Leicester City
West Ham United,Burnley
Chelsea,Crystal Palace
Arsenal,Watford
AFC Bournemouth,Tottenham Hotspur
Stoke City,Manchester City
AFC Bournemouth,West Bromwich Albion
Huddersfield Town,Crystal Palace
Stoke City,Everton
Liverpool,Watford
Crystal Palace,Liverpool
Brighton and Hove Albion,Leicester City
Manchester United,Swansea City
Newcastle United,Huddersfield Town
Watford,AFC Bournemouth
West Bromwich Albion,Burnley
West Ham United,Southampton
Everton,Manchester City
Arsenal,Stoke City
Chelsea,Tottenham Hotspur
